Quarter,PoliceDistrict,PoliceMerhav,TikimSum
2018-Q1,מחוז דרומי,מרחב אילת דרום,1584
2018-Q1,מחוז דרומי,מרחב לכיש,4817
2018-Q1,מחוז דרומי,מרחב נגב,7547
2018-Q1,מחוז חוף,מרחב אשר חוף,2586
2018-Q1,מחוז חוף,מרחב כרמל חוף,4234
2018-Q1,מחוז חוף,מרחב מנשה חוף,2476
2018-Q1,מחוז ירושלים,מרחב דוד ירושלים,571
2018-Q1,מחוז ירושלים,מרחב ציון ירושלים,7491
2018-Q1,מחוז ירושלים,מרחב קדם ירושלים,2593
2018-Q1,מחוז מרכז,מרחב שפלה,8449
2018-Q1,מחוז מרכז,מרחב שרון,8839
2018-Q1,מחוז צפון,מרחב גליל צפון,761
2018-Q1,מחוז צפון,מרחב כנרת צפון,1969
2018-Q1,מחוז צפון,מרחב עמקים צפון,2735
2018-Q1,מחוז שי,מרחב יהודה שי,628
2018-Q1,מחוז שי,מרחב שומרון שי,470
2018-Q1,מחוז תא,מרחב איילון החדש תא,9095
2018-Q1,מחוז תא,מרחב דן תא,3571
2018-Q1,מחוז תא,מרחב ירקון תא,5467
2018-Q2,מחוז דרומי,מרחב אילת דרום,1569
2018-Q2,מחוז דרומי,מרחב לכיש,4646
2018-Q2,מחוז דרומי,מרחב נגב,7009
2018-Q2,מחוז חוף,מרחב אשר חוף,2367
2018-Q2,מחוז חוף,מרחב כרמל חוף,4013
2018-Q2,מחוז חוף,מרחב מנשה חוף,2365
2018-Q2,מחוז ירושלים,מרחב דוד ירושלים,527
2018-Q2,מחוז ירושלים,מרחב ציון ירושלים,7798
2018-Q2,מחוז ירושלים,מרחב קדם ירושלים,2578
2018-Q2,מחוז מרכז,מרחב שפלה,8055
2018-Q2,מחוז מרכז,מרחב שרון,8388
2018-Q2,מחוז צפון,מרחב גליל צפון,721
2018-Q2,מחוז צפון,מרחב כנרת צפון,1690
2018-Q2,מחוז צפון,מרחב עמקים צפון,2370
2018-Q2,מחוז שי,מרחב יהודה שי,554
2018-Q2,מחוז שי,מרחב שומרון שי,439
2018-Q2,מחוז תא,מרחב איילון החדש תא,9314
2018-Q2,מחוז תא,מרחב דן תא,3407
2018-Q2,מחוז תא,מרחב ירקון תא,6069
2018-Q3,מחוז דרומי,מרחב אילת דרום,1660
2018-Q3,מחוז דרומי,מרחב לכיש,4773
2018-Q3,מחוז דרומי,מרחב נגב,6724
2018-Q3,מחוז חוף,מרחב אשר חוף,2290
2018-Q3,מחוז חוף,מרחב כרמל חוף,3824
2018-Q3,מחוז חוף,מרחב מנשה חוף,2020
2018-Q3,מחוז ירושלים,מרחב דוד ירושלים,497
2018-Q3,מחוז ירושלים,מרחב ציון ירושלים,7650
2018-Q3,מחוז ירושלים,מרחב קדם ירושלים,2732
2018-Q3,מחוז מרכז,מרחב שפלה,7755
2018-Q3,מחוז מרכז,מרחב שרון,7965
2018-Q3,מחוז צפון,מרחב גליל צפון,806
2018-Q3,מחוז צפון,מרחב כנרת צפון,1738
2018-Q3,מחוז צפון,מרחב עמקים צפון,2454
2018-Q3,מחוז שי,מרחב יהודה שי,505
2018-Q3,מחוז שי,מרחב שומרון שי,461
2018-Q3,מחוז תא,מרחב איילון החדש תא,9050
2018-Q3,מחוז תא,מרחב דן תא,3244
2018-Q3,מחוז תא,מרחב ירקון תא,6018
2018-Q4,מחוז דרומי,מרחב אילת דרום,1251
2018-Q4,מחוז דרומי,מרחב לכיש,4642
2018-Q4,מחוז דרומי,מרחב נגב,6913
2018-Q4,מחוז חוף,מרחב אשר חוף,2302
2018-Q4,מחוז חוף,מרחב כרמל חוף,3755
2018-Q4,מחוז חוף,מרחב מנשה חוף,2229
2018-Q4,מחוז ירושלים,מרחב דוד ירושלים,444
2018-Q4,מחוז ירושלים,מרחב ציון ירושלים,7568
2018-Q4,מחוז ירושלים,מרחב קדם ירושלים,2808
2018-Q4,מחוז מרכז,מרחב שפלה,7460
2018-Q4,מחוז מרכז,מרחב שרון,8333
2018-Q4,מחוז צפון,מרחב גליל צפון,694
2018-Q4,מחוז צפון,מרחב כנרת צפון,1589
2018-Q4,מחוז צפון,מרחב עמקים צפון,2588
2018-Q4,מחוז שי,מרחב יהודה שי,574
2018-Q4,מחוז שי,מרחב שומרון שי,542
2018-Q4,מחוז תא,מרחב איילון החדש תא,9172
2018-Q4,מחוז תא,מרחב דן תא,3252
2018-Q4,מחוז תא,מרחב ירקון תא,6099
2019-Q1,מחוז דרומי,מרחב אילת דרום,1178
2019-Q1,מחוז דרומי,מרחב לכיש,5030
2019-Q1,מחוז דרומי,מרחב נגב,7135
2019-Q1,מחוז חוף,מרחב אשר חוף,2266
2019-Q1,מחוז חוף,מרחב כרמל חוף,3705
2019-Q1,מחוז חוף,מרחב מנשה חוף,2447
2019-Q1,מחוז ירושלים,מרחב דוד ירושלים,404
2019-Q1,מחוז ירושלים,מרחב ציון ירושלים,6754
2019-Q1,מחוז ירושלים,מרחב קדם ירושלים,3168
2019-Q1,מחוז מרכז,מרחב שפלה,7178
2019-Q1,מחוז מרכז,מרחב שרון,8017
2019-Q1,מחוז צפון,מרחב גליל צפון,793
2019-Q1,מחוז צפון,מרחב כנרת צפון,1739
2019-Q1,מחוז צפון,מרחב עמקים צפון,2832
2019-Q1,מחוז שי,מרחב יהודה שי,552
2019-Q1,מחוז שי,מרחב שומרון שי,380
2019-Q1,מחוז תא,מרחב איילון החדש תא,9466
2019-Q1,מחוז תא,מרחב דן תא,3378
2019-Q1,מחוז תא,מרחב ירקון תא,5890
2019-Q2,מחוז דרומי,מרחב אילת דרום,1771
2019-Q2,מחוז דרומי,מרחב לכיש,5106
2019-Q2,מחוז דרומי,מרחב נגב,6849
2019-Q2,מחוז חוף,מרחב אשר חוף,2737
2019-Q2,מחוז חוף,מרחב כרמל חוף,3618
2019-Q2,מחוז חוף,מרחב מנשה חוף,2441
2019-Q2,מחוז ירושלים,מרחב דוד ירושלים,467
2019-Q2,מחוז ירושלים,מרחב ציון ירושלים,6514
2019-Q2,מחוז ירושלים,מרחב קדם ירושלים,3505
2019-Q2,מחוז מרכז,מרחב שפלה,6638
2019-Q2,מחוז מרכז,מרחב שרון,7696
2019-Q2,מחוז צפון,מרחב גליל צפון,722
2019-Q2,מחוז צפון,מרחב כנרת צפון,1750
2019-Q2,מחוז צפון,מרחב עמקים צפון,2695
2019-Q2,מחוז שי,מרחב יהודה שי,527
2019-Q2,מחוז שי,מרחב שומרון שי,450
2019-Q2,מחוז תא,מרחב איילון החדש תא,8806
2019-Q2,מחוז תא,מרחב דן תא,3401
2019-Q2,מחוז תא,מרחב ירקון תא,5506
2019-Q3,מחוז דרומי,מרחב אילת דרום,1644
2019-Q3,מחוז דרומי,מרחב לכיש,5520
2019-Q3,מחוז דרומי,מרחב נגב,7268
2019-Q3,מחוז חוף,מרחב אשר חוף,2435
2019-Q3,מחוז חוף,מרחב כרמל חוף,3639
2019-Q3,מחוז חוף,מרחב מנשה חוף,2461
2019-Q3,מחוז ירושלים,מרחב דוד ירושלים,437
2019-Q3,מחוז ירושלים,מרחב ציון ירושלים,6538
2019-Q3,מחוז ירושלים,מרחב קדם ירושלים,3530
2019-Q3,מחוז מרכז,מרחב שפלה,7236
2019-Q3,מחוז מרכז,מרחב שרון,7745
2019-Q3,מחוז צפון,מרחב גליל צפון,896
2019-Q3,מחוז צפון,מרחב כנרת צפון,1671
2019-Q3,מחוז צפון,מרחב עמקים צפון,2604
2019-Q3,מחוז שי,מרחב יהודה שי,491
2019-Q3,מחוז שי,מרחב שומרון שי,500
2019-Q3,מחוז תא,מרחב איילון החדש תא,8897
2019-Q3,מחוז תא,מרחב דן תא,3503
2019-Q3,מחוז תא,מרחב ירקון תא,6327
2019-Q4,מחוז דרומי,מרחב אילת דרום,1472
2019-Q4,מחוז דרומי,מרחב לכיש,4984
2019-Q4,מחוז דרומי,מרחב נגב,6472
2019-Q4,מחוז חוף,מרחב אשר חוף,2316
2019-Q4,מחוז חוף,מרחב כרמל חוף,3390
2019-Q4,מחוז חוף,מרחב מנשה חוף,2269
2019-Q4,מחוז ירושלים,מרחב דוד ירושלים,396
2019-Q4,מחוז ירושלים,מרחב ציון ירושלים,5584
2019-Q4,מחוז ירושלים,מרחב קדם ירושלים,3231
2019-Q4,מחוז מרכז,מרחב שפלה,6597
2019-Q4,מחוז מרכז,מרחב שרון,7152
2019-Q4,מחוז צפון,מרחב גליל צפון,735
2019-Q4,מחוז צפון,מרחב כנרת צפון,1519
2019-Q4,מחוז צפון,מרחב עמקים צפון,2488
2019-Q4,מחוז שי,מרחב יהודה שי,454
2019-Q4,מחוז שי,מרחב שומרון שי,426
2019-Q4,מחוז תא,מרחב איילון החדש תא,8301
2019-Q4,מחוז תא,מרחב דן תא,3143
2019-Q4,מחוז תא,מרחב ירקון תא,5608
2020-Q1,מחוז דרומי,מרחב אילת דרום,1419
2020-Q1,מחוז דרומי,מרחב לכיש,5127
2020-Q1,מחוז דרומי,מרחב נגב,6636
2020-Q1,מחוז חוף,מרחב אשר חוף,2240
2020-Q1,מחוז חוף,מרחב כרמל חוף,3269
2020-Q1,מחוז חוף,מרחב מנשה חוף,2255
2020-Q1,מחוז ירושלים,מרחב דוד ירושלים,395
2020-Q1,מחוז ירושלים,מרחב ציון ירושלים,5643
2020-Q1,מחוז ירושלים,מרחב קדם ירושלים,3156
2020-Q1,מחוז מרכז,מרחב שפלה,6585
2020-Q1,מחוז מרכז,מרחב שרון,6574
2020-Q1,מחוז צפון,מרחב גליל צפון,750
2020-Q1,מחוז צפון,מרחב כנרת צפון,1503
2020-Q1,מחוז צפון,מרחב עמקים צפון,2368
2020-Q1,מחוז שי,מרחב יהודה שי,512
2020-Q1,מחוז שי,מרחב שומרון שי,531
2020-Q1,מחוז תא,מרחב איילון החדש תא,7837
2020-Q1,מחוז תא,מרחב דן תא,3237
2020-Q1,מחוז תא,מרחב ירקון תא,4888
2020-Q2,מחוז דרומי,מרחב אילת דרום,1483
2020-Q2,מחוז דרומי,מרחב לכיש,5319
2020-Q2,מחוז דרומי,מרחב נגב,6900
2020-Q2,מחוז חוף,מרחב אשר חוף,2577
2020-Q2,מחוז חוף,מרחב כרמל חוף,3465
2020-Q2,מחוז חוף,מרחב מנשה חוף,2101
2020-Q2,מחוז ירושלים,מרחב דוד ירושלים,361
2020-Q2,מחוז ירושלים,מרחב ציון ירושלים,5821
2020-Q2,מחוז ירושלים,מרחב קדם ירושלים,3141
2020-Q2,מחוז מרכז,מרחב שפלה,6972
2020-Q2,מחוז מרכז,מרחב שרון,6629
2020-Q2,מחוז צפון,מרחב גליל צפון,689
2020-Q2,מחוז צפון,מרחב כנרת צפון,1458
2020-Q2,מחוז צפון,מרחב עמקים צפון,2394
2020-Q2,מחוז שי,מרחב יהודה שי,476
2020-Q2,מחוז שי,מרחב שומרון שי,457
2020-Q2,מחוז תא,מרחב איילון החדש תא,8006
2020-Q2,מחוז תא,מרחב דן תא,2924
2020-Q2,מחוז תא,מרחב ירקון תא,4961
2020-Q3,מחוז דרומי,מרחב אילת דרום,1681
2020-Q3,מחוז דרומי,מרחב לכיש,4930
2020-Q3,מחוז דרומי,מרחב נגב,6993
2020-Q3,מחוז חוף,מרחב אשר חוף,2304
2020-Q3,מחוז חוף,מרחב כרמל חוף,3473
2020-Q3,מחוז חוף,מרחב מנשה חוף,2137
2020-Q3,מחוז ירושלים,מרחב דוד ירושלים,455
2020-Q3,מחוז ירושלים,מרחב ציון ירושלים,5977
2020-Q3,מחוז ירושלים,מרחב קדם ירושלים,3331
2020-Q3,מחוז מרכז,מרחב שפלה,6883
2020-Q3,מחוז מרכז,מרחב שרון,7447
2020-Q3,מחוז צפון,מרחב גליל צפון,765
2020-Q3,מחוז צפון,מרחב כנרת צפון,1522
2020-Q3,מחוז צפון,מרחב עמקים צפון,2514
2020-Q3,מחוז שי,מרחב יהודה שי,531
2020-Q3,מחוז שי,מרחב שומרון שי,399
2020-Q3,מחוז תא,מרחב איילון החדש תא,8251
2020-Q3,מחוז תא,מרחב דן תא,3090
2020-Q3,מחוז תא,מרחב ירקון תא,5934
2020-Q4,מחוז דרומי,מרחב אילת דרום,1373
2020-Q4,מחוז דרומי,מרחב לכיש,5245
2020-Q4,מחוז דרומי,מרחב נגב,7030
2020-Q4,מחוז חוף,מרחב אשר חוף,2449
2020-Q4,מחוז חוף,מרחב כרמל חוף,3298
2020-Q4,מחוז חוף,מרחב מנשה חוף,2345
2020-Q4,מחוז ירושלים,מרחב דוד ירושלים,531
2020-Q4,מחוז ירושלים,מרחב ציון ירושלים,6054
2020-Q4,מחוז ירושלים,מרחב קדם ירושלים,3326
2020-Q4,מחוז מרכז,מרחב שפלה,6989
2020-Q4,מחוז מרכז,מרחב שרון,7649
2020-Q4,מחוז צפון,מרחב גליל צפון,793
2020-Q4,מחוז צפון,מרחב כנרת צפון,1480
2020-Q4,מחוז צפון,מרחב עמקים צפון,2385
2020-Q4,מחוז שי,מרחב יהודה שי,565
2020-Q4,מחוז שי,מרחב שומרון שי,454
2020-Q4,מחוז תא,מרחב איילון החדש תא,8090
2020-Q4,מחוז תא,מרחב דן תא,3235
2020-Q4,מחוז תא,מרחב ירקון תא,5313
2021-Q1,מחוז דרומי,מרחב אילת דרום,1196
2021-Q1,מחוז דרומי,מרחב לכיש,5421
2021-Q1,מחוז דרומי,מרחב נגב,7752
2021-Q1,מחוז חוף,מרחב אשר חוף,2169
2021-Q1,מחוז חוף,מרחב כרמל חוף,3186
2021-Q1,מחוז חוף,מרחב מנשה חוף,2021
2021-Q1,מחוז ירושלים,מרחב דוד ירושלים,440
2021-Q1,מחוז ירושלים,מרחב ציון ירושלים,5891
2021-Q1,מחוז ירושלים,מרחב קדם ירושלים,2888
2021-Q1,מחוז מרכז,מרחב שפלה,6861
2021-Q1,מחוז מרכז,מרחב שרון,6900
2021-Q1,מחוז צפון,מרחב גליל צפון,735
2021-Q1,מחוז צפון,מרחב כנרת צפון,1433
2021-Q1,מחוז צפון,מרחב עמקים צפון,2434
2021-Q1,מחוז שי,מרחב יהודה שי,473
2021-Q1,מחוז שי,מרחב שומרון שי,546
2021-Q1,מחוז תא,מרחב איילון החדש תא,7486
2021-Q1,מחוז תא,מרחב דן תא,3072
2021-Q1,מחוז תא,מרחב ירקון תא,5080
2021-Q2,מחוז דרומי,מרחב אילת דרום,1593
2021-Q2,מחוז דרומי,מרחב לכיש,5523
2021-Q2,מחוז דרומי,מרחב נגב,7721
2021-Q2,מחוז חוף,מרחב אשר חוף,2862
2021-Q2,מחוז חוף,מרחב כרמל חוף,3738
2021-Q2,מחוז חוף,מרחב מנשה חוף,2139
2021-Q2,מחוז ירושלים,מרחב דוד ירושלים,870
2021-Q2,מחוז ירושלים,מרחב ציון ירושלים,6972
2021-Q2,מחוז ירושלים,מרחב קדם ירושלים,4080
2021-Q2,מחוז מרכז,מרחב שפלה,9023
2021-Q2,מחוז מרכז,מרחב שרון,7517
2021-Q2,מחוז צפון,מרחב גליל צפון,655
2021-Q2,מחוז צפון,מרחב כנרת צפון,1582
2021-Q2,מחוז צפון,מרחב עמקים צפון,2387
2021-Q2,מחוז שי,מרחב יהודה שי,473
2021-Q2,מחוז שי,מרחב שומרון שי,535
2021-Q2,מחוז תא,מרחב איילון החדש תא,8586
2021-Q2,מחוז תא,מרחב דן תא,3289
2021-Q2,מחוז תא,מרחב ירקון תא,5656
2021-Q3,מחוז דרומי,מרחב אילת דרום,1603
2021-Q3,מחוז דרומי,מרחב לכיש,5387
2021-Q3,מחוז דרומי,מרחב נגב,7247
2021-Q3,מחוז חוף,מרחב אשר חוף,2655
2021-Q3,מחוז חוף,מרחב כרמל חוף,3177
2021-Q3,מחוז חוף,מרחב מנשה חוף,2061
2021-Q3,מחוז ירושלים,מרחב דוד ירושלים,518
2021-Q3,מחוז ירושלים,מרחב ציון ירושלים,6239
2021-Q3,מחוז ירושלים,מרחב קדם ירושלים,3346
2021-Q3,מחוז מרכז,מרחב שפלה,7190
2021-Q3,מחוז מרכז,מרחב שרון,7515
2021-Q3,מחוז צפון,מרחב גליל צפון,646
2021-Q3,מחוז צפון,מרחב כנרת צפון,1422
2021-Q3,מחוז צפון,מרחב עמקים צפון,2283
2021-Q3,מחוז שי,מרחב יהודה שי,501
2021-Q3,מחוז שי,מרחב שומרון שי,454
2021-Q3,מחוז תא,מרחב איילון החדש תא,8232
2021-Q3,מחוז תא,מרחב דן תא,3030
2021-Q3,מחוז תא,מרחב ירקון תא,5601
2021-Q4,מחוז דרומי,מרחב אילת דרום,1332
2021-Q4,מחוז דרומי,מרחב לכיש,5075
2021-Q4,מחוז דרומי,מרחב נגב,7493
2021-Q4,מחוז חוף,מרחב אשר חוף,2533
2021-Q4,מחוז חוף,מרחב כרמל חוף,3462
2021-Q4,מחוז חוף,מרחב מנשה חוף,2426
2021-Q4,מחוז ירושלים,מרחב דוד ירושלים,581
2021-Q4,מחוז ירושלים,מרחב ציון ירושלים,6472
2021-Q4,מחוז ירושלים,מרחב קדם ירושלים,3279
2021-Q4,מחוז מרכז,מרחב שפלה,7720
2021-Q4,מחוז מרכז,מרחב שרון,8115
2021-Q4,מחוז צפון,מרחב גליל צפון,657
2021-Q4,מחוז צפון,מרחב כנרת צפון,1407
2021-Q4,מחוז צפון,מרחב עמקים צפון,2486
2021-Q4,מחוז שי,מרחב יהודה שי,513
2021-Q4,מחוז שי,מרחב שומרון שי,526
2021-Q4,מחוז תא,מרחב איילון החדש תא,8198
2021-Q4,מחוז תא,מרחב דן תא,3123
2021-Q4,מחוז תא,מרחב ירקון תא,5667
2022-Q1,מחוז דרומי,מרחב אילת דרום,1299
2022-Q1,מחוז דרומי,מרחב לכיש,4805
2022-Q1,מחוז דרומי,מרחב נגב,7099
2022-Q1,מחוז חוף,מרחב אשר חוף,2813
2022-Q1,מחוז חוף,מרחב כרמל חוף,3221
2022-Q1,מחוז חוף,מרחב מנשה חוף,2543
2022-Q1,מחוז ירושלים,מרחב דוד ירושלים,548
2022-Q1,מחוז ירושלים,מרחב ציון ירושלים,5771
2022-Q1,מחוז ירושלים,מרחב קדם ירושלים,2951
2022-Q1,מחוז מרכז,מרחב שפלה,7699
2022-Q1,מחוז מרכז,מרחב שרון,8010
2022-Q1,מחוז צפון,מרחב גליל צפון,661
2022-Q1,מחוז צפון,מרחב כנרת צפון,1723
2022-Q1,מחוז צפון,מרחב עמקים צפון,2514
2022-Q1,מחוז שי,מרחב יהודה שי,512
2022-Q1,מחוז שי,מרחב שומרון שי,494
2022-Q1,מחוז תא,מרחב איילון החדש תא,8051
2022-Q1,מחוז תא,מרחב דן תא,3106
2022-Q1,מחוז תא,מרחב ירקון תא,5478
2022-Q2,מחוז דרומי,מרחב אילת דרום,1318
2022-Q2,מחוז דרומי,מרחב לכיש,5091
2022-Q2,מחוז דרומי,מרחב נגב,7241
2022-Q2,מחוז חוף,מרחב אשר חוף,2609
2022-Q2,מחוז חוף,מרחב כרמל חוף,3187
2022-Q2,מחוז חוף,מרחב מנשה חוף,2140
2022-Q2,מחוז ירושלים,מרחב דוד ירושלים,817
2022-Q2,מחוז ירושלים,מרחב ציון ירושלים,6088
2022-Q2,מחוז ירושלים,מרחב קדם ירושלים,3708
2022-Q2,מחוז מרכז,מרחב שפלה,7522
2022-Q2,מחוז מרכז,מרחב שרון,7615
2022-Q2,מחוז צפון,מרחב גליל צפון,663
2022-Q2,מחוז צפון,מרחב כנרת צפון,1663
2022-Q2,מחוז צפון,מרחב עמקים צפון,2257
2022-Q2,מחוז שי,מרחב יהודה שי,613
2022-Q2,מחוז שי,מרחב שומרון שי,529
2022-Q2,מחוז תא,מרחב איילון החדש תא,8346
2022-Q2,מחוז תא,מרחב דן תא,3147
2022-Q2,מחוז תא,מרחב ירקון תא,5456
2022-Q3,מחוז דרומי,מרחב אילת דרום,1400
2022-Q3,מחוז דרומי,מרחב לכיש,5230
2022-Q3,מחוז דרומי,מרחב נגב,7361
2022-Q3,מחוז חוף,מרחב אשר חוף,2505
2022-Q3,מחוז חוף,מרחב כרמל חוף,3131
2022-Q3,מחוז חוף,מרחב מנשה חוף,2088
2022-Q3,מחוז ירושלים,מרחב דוד ירושלים,625
2022-Q3,מחוז ירושלים,מרחב ציון ירושלים,5816
2022-Q3,מחוז ירושלים,מרחב קדם ירושלים,3088
2022-Q3,מחוז מרכז,מרחב שפלה,7506
2022-Q3,מחוז מרכז,מרחב שרון,7656
2022-Q3,מחוז צפון,מרחב גליל צפון,611
2022-Q3,מחוז צפון,מרחב כנרת צפון,1430
2022-Q3,מחוז צפון,מרחב עמקים צפון,2414
2022-Q3,מחוז שי,מרחב יהודה שי,582
2022-Q3,מחוז שי,מרחב שומרון שי,479
2022-Q3,מחוז תא,מרחב איילון החדש תא,8329
2022-Q3,מחוז תא,מרחב דן תא,3104
2022-Q3,מחוז תא,מרחב ירקון תא,5516
2022-Q4,מחוז דרומי,מרחב אילת דרום,1145
2022-Q4,מחוז דרומי,מרחב לכיש,4940
2022-Q4,מחוז דרומי,מרחב נגב,8164
2022-Q4,מחוז חוף,מרחב אשר חוף,2397
2022-Q4,מחוז חוף,מרחב כרמל חוף,3280
2022-Q4,מחוז חוף,מרחב מנשה חוף,2122
2022-Q4,מחוז ירושלים,מרחב דוד ירושלים,584
2022-Q4,מחוז ירושלים,מרחב ציון ירושלים,5789
2022-Q4,מחוז ירושלים,מרחב קדם ירושלים,3041
2022-Q4,מחוז מרכז,מרחב שפלה,8140
2022-Q4,מחוז מרכז,מרחב שרון,8202
2022-Q4,מחוז צפון,מרחב גליל צפון,636
2022-Q4,מחוז צפון,מרחב כנרת צפון,1575
2022-Q4,מחוז צפון,מרחב עמקים צפון,2563
2022-Q4,מחוז שי,מרחב יהודה שי,553
2022-Q4,מחוז שי,מרחב שומרון שי,511
2022-Q4,מחוז תא,מרחב איילון החדש תא,7988
2022-Q4,מחוז תא,מרחב דן תא,3483
2022-Q4,מחוז תא,מרחב ירקון תא,5488
2023-Q1,מחוז דרומי,מרחב אילת דרום,1221
2023-Q1,מחוז דרומי,מרחב לכיש,5020
2023-Q1,מחוז דרומי,מרחב נגב,7943
2023-Q1,מחוז חוף,מרחב אשר חוף,2635
2023-Q1,מחוז חוף,מרחב כרמל חוף,3384
2023-Q1,מחוז חוף,מרחב מנשה חוף,2034
2023-Q1,מחוז ירושלים,מרחב דוד ירושלים,650
2023-Q1,מחוז ירושלים,מרחב ציון ירושלים,5538
2023-Q1,מחוז ירושלים,מרחב קדם ירושלים,2848
2023-Q1,מחוז מרכז,מרחב שפלה,8465
2023-Q1,מחוז מרכז,מרחב שרון,7813
2023-Q1,מחוז צפון,מרחב גליל צפון,687
2023-Q1,מחוז צפון,מרחב כנרת צפון,1450
2023-Q1,מחוז צפון,מרחב עמקים צפון,2579
2023-Q1,מחוז שי,מרחב יהודה שי,539
2023-Q1,מחוז שי,מרחב שומרון שי,383
2023-Q1,מחוז תא,מרחב איילון החדש תא,7932
2023-Q1,מחוז תא,מרחב דן תא,3594
2023-Q1,מחוז תא,מרחב ירקון תא,5230
